id,city,area,property_type,bedrooms,bathrooms,nightly_price_usd,review_score,occupancy_rate,distance_to_beach_km,distance_to_airport_km,num_reviews,amenities,annual_revenue_usd,property_price_usd,roi_pct,investment_score,latitude,longitude
MLD0001,Maldives,Noonu Atoll,Garden Room,1,1,204,4.6,0.85,0.0,1.9,591,Snorkeling Gear|Direct Lagoon Access|Private Pool|Sun Deck|Kayak|WiFi,47468,830379,5.72,91,2.9727,73.5097
MLD0002,Maldives,North Male Atoll,Overwater Bungalow,3,3,802,4.33,0.67,0.0,1.1,299,Private Pool|Direct Lagoon Access|Kayak|Sun Deck|Snorkeling Gear|Outdoor Shower,147097,2378000,6.19,88,6.9583,73.9714
MLD0003,Maldives,North Male Atoll,Water Villa,2,2,915,4.28,0.83,0.0,1.4,88,Snorkeling Gear|WiFi|Butler Service|Sun Deck|Kayak|AC|Private Pool|Glass Floor|Outdoor Shower,207899,3567917,5.83,88,7.0777,73.3386
MLD0004,Maldives,Lhaviyani Atoll,Sunset Villa,1,1,602,4.69,0.7,0.0,0.8,260,AC|Snorkeling Gear|Glass Floor|Kayak|Butler Service|Outdoor Shower|WiFi|Sun Deck,115358,2092710,5.51,88,7.2855,73.3321
MLD0005,Maldives,Lhaviyani Atoll,Water Villa,3,3,685,4.85,0.79,0.0,2.7,218,Sun Deck|Direct Lagoon Access|Private Pool|Butler Service|Snorkeling Gear|WiFi|AC|Kayak|Glass Floor,148140,2439965,6.07,94,7.0153,74.046
MLD0006,Maldives,Baa Atoll,Sunset Villa,1,1,575,4.71,0.89,0.0,1.2,250,Sun Deck|Snorkeling Gear|Direct Lagoon Access|Butler Service|AC|Glass Floor|Private Pool,140092,2316641,6.05,95,6.718,74.666
MLD0007,Maldives,Vaavu Atoll,Garden Room,1,1,221,4.81,0.57,0.0,3.5,403,Glass Floor|Private Pool|WiFi|Butler Service|Kayak,34484,603746,5.71,88,8.0473,75.1048
MLD0008,Maldives,Lhaviyani Atoll,Overwater Bungalow,1,1,664,4.29,0.67,0.0,3.1,55,Kayak|Outdoor Shower|Glass Floor|Private Pool|Snorkeling Gear|AC|WiFi,121786,1908653,6.38,89,2.5477,75.6525
MLD0009,Maldives,Ari Atoll,Beach Villa,2,2,501,4.33,0.85,0.0,2.5,564,Outdoor Shower|Sun Deck|Private Pool|AC|Butler Service|Glass Floor,116576,1950737,5.98,90,7.8118,74.177
MLD0010,Maldives,Noonu Atoll,Overwater Bungalow,3,3,500,4.43,0.73,0.0,2.0,447,WiFi|Snorkeling Gear|Private Pool|Butler Service|AC|Kayak|Sun Deck,99919,1767094,5.65,87,7.5395,74.8255
